accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,fuel_peak_lbm_s,fuel_limit_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,recovery_1pct_speed_s,events_inside_1pct_throughout,first_failure_eval_s,environment,altitude_m,isa_delta_C,method,Kp,Ki,reference_hp,load_hp,wall_seconds,compressor_Nc_outside_percent,inlet_temperature_K,inlet_pressure_kPa,gp_replay_error,gp_outside_percent
1,1.38496767653604,9.42645865425584,50.9610960573341,14.1801074622217,1.44910565607349,0,2.52864206875213,0.432192695620536,6.95149857677499,Inf,0,6,NaN,28,5000,30,InvGPR_PI_GPRFF,2,30,10582.7375987667,1058.27375987667,19.8666559,0,285.676811982466,53.1431818867567,1.95221616650088e-12,0.299950008331945
1,1.55040142559823,13.3361230892369,32.2827332580366,9.53295467234899,1.29118338631188,0,1.33449609747289,0.362176021462968,2.86361679629468,2.175,0,6,NaN,29,7500,30,BasePI,0.025,0.05,9087.042105387,908.7042105387,3.7991064,0,269.447541514121,37.5856351443804,0,0
1,1.40706937555596,8.18534666410778,61.7076119366353,9.45984735035738,1.29554975030728,0,2.22811663298243,0.382309943228341,6.21741111972168,Inf,0,6,NaN,29,7500,30,InvGPR_PI_GPRFF,2,30,9087.042105387,908.7042105387,25.3649408,0,269.447541514121,37.5856351443804,2.57760479627223e-12,0.0999833361106482
1,1.24324260286029,10.7353502190344,25.5239460796004,5.37437472425956,1.04823038037146,0,1.14119375769491,0.293225429588767,2.29127518088427,2.02500000000001,0,6,NaN,30,10000,30,BasePI,0.025,0.05,7182.52975384756,718.252975384756,3.828748,0,253.251851580556,26.113108584684,0,0
1,1.63950801574455,6.58167185731145,105.869465997103,5.50719223934345,1.04434631818686,0,1.73119051100112,0.301316652626263,4.90874414128066,Inf,0,6,NaN,30,10000,30,InvGPR_PI_GPRFF,2,30,7182.52975384756,718.252975384756,25.9151643,0,253.251851580556,26.113108584684,2.85493850782359e-12,0
1,4.53222378364973,38.6531841233336,95.3510726144737,6.67751071417229,3.85283241847448,0,3.70344675845108,1.05248857238001,8.34674400802333,2.7,0,6,NaN,31,0,-30,BasePI,0.025,0.05,26752.1519330825,2675.21519330825,4.2190369,0,258.138851493305,99.2831979223505,0,0
1,3.58402503021484,24.4239040926368,133.659234565009,6.58397919927478,3.86563821196756,0,6.79836617948059,1.1555239827175,19.6342294034357,Inf,0,6,NaN,31,0,-30,InvGPR_PI_GPRFF,2,30,26752.1519330825,2675.21519330825,16.814015,0,258.138851493305,99.2831979223505,3.05266922850933e-12,0.649891684719213
1,3.58297033046426,30.7794915256309,74.7845943447786,3.21244157929224,3.08732335826468,0,3.074976188022,0.836920303364209,6.64935455308671,2.565,0,6,NaN,32,2500,-30,BasePI,0.025,0.05,21204.6823511638,2120.46823511638,3.2514669,0,241.907841876377,73.4491842176651,0,0
1,3.16851223691206,19.3011629721877,133.057439470818,3.17107814204184,3.09222063534732,0,5.25687688315203,0.896183747150413,14.9500456044912,Inf,0,6,NaN,32,2500,-30,InvGPR_PI_GPRFF,2,30,21204.6823511638,2120.46823511638,23.2341887,0,241.907841876377,73.4491842176651,3.91864318771695e-12,0.649891684719213
1,2.57662332154576,22.8747471700372,51.9368474592625,2.03315391636143,2.22017760663962,0,2.63747117993134,0.614087743878248,4.9337501471961,2.325,0,6,NaN,33,5000,-30,BasePI,0.025,0.05,15399.0435768842,1539.90435768842,3.104052,100,225.676732465073,53.1431818867567,0,0
1,40.8954701955313,113.266075696043,2586.77355162669,2.38659987343727,2.19655650485904,0,3.29166671518578,0.601329411754671,9.44565203205737,Inf,Inf,5,NaN,33,5000,-30,InvGPR_PI_GPRFF,2,30,15399.0435768842,1539.90435768842,22.7988218,100,225.676732465073,53.1431818867567,2.78643774720422e-12,0.549908348608565
1,1.64880554094792,14.8833160628074,32.9536797974198,2.82779998958088,1.45125447896037,0,1.8091087811501,0.396953871500067,3.29923036858948,2.13,0,6,NaN,34,7500,-30,BasePI,0.025,0.05,10484.2518434181,1048.42518434181,2.446848,100,209.455993547724,37.5898074200669,0,0
1,22.2010332917706,55.3066475554842,1456.21328140775,3.20252975975672,1.43477703318569,0,2.25233738958858,0.389910036434762,6.28294379043455,Inf,0,6,NaN,34,7500,-30,InvGPR_PI_GPRFF,2,30,10484.2518434181,1048.42518434181,15.9296536,100,209.455993547724,37.5898074200669,2.16804352248801e-12,0.349941676387269
1,1.05198642828149,9.74961609717684,21.053242103345,3.44327270995045,0.930827449165334,0,1.25100901202237,0.253975368079739,2.18541583128124,1.95,0,6,NaN,35,10000,-30,BasePI,0.025,0.05,6989.57472741701,698.957472741701,3.3983788,100,193.2465662109,26.1105966232426,0,0
1,4.95894859898137,9.54175904431031,360.359078648321,4.00488236132769,0.914330599080518,0,1.38489714604749,0.246765426148268,3.97468446975643,Inf,0,6,NaN,35,10000,-30,InvGPR_PI_GPRFF,2,30,6989.57472741701,698.957472741701,21.12935,100,193.2465662109,26.1105966232426,3.57958107599643e-12,0
1,2.5314669986778,21.5941997470763,53.4980821078904,9.01331445487584,2.13150789808411,0,2.03043073774102,0.586439185712627,4.67351800277499,2.46000000000001,0,6,NaN,36,4000,5,BasePI,0.025,0.05,15030.1235607484,1503.01235607484,3.0249778,0,267.161443505974,60.6481711487698,0,0
1,1.81870282367057,13.3953145642463,61.262915903851,8.72896394510109,2.15365152287719,0,3.81686954237581,0.640261653570169,10.5664654874829,Inf,0,6,NaN,36,4000,5,InvGPR_PI,2,30,15030.1235607484,1503.01235607484,30.0584483,0,267.161443505974,60.6481711487698,3.31934479902429e-12,0.499916680553241
1,1.81870282366845,13.3953145642463,61.262915904311,8.72896394510115,2.15365152287719,0,3.81686954246018,0.640261653568616,10.5664654874435,Inf,0,6,NaN,36,4000,5,InvGPR_PI_GPRFF,2,30,15030.1235607484,1503.01235607484,250.5683861,0,267.161443505974,60.6481711487698,3.37507799486048e-12,0.499916680553241
